Gene_ID,Genebank
gene813,100697236
gene814,100699007
gene815,100698736
gene816,100697501
gene817,100693640
gene818,100534535
gene819,100693904
gene820,100694179
gene823,102081738
gene824,100694443
gene825,100692829
gene826,100694714
gene827,100697093
gene828,100694973
gene829,100695244
gene830,100695507
gene831,100695772
gene832,100696032
gene834,100696298
gene835,100696559
gene836,100696825
gene837,100706501
gene838,100706775
gene839,100697365
gene840,109202366
gene841,100707045
gene842,100697632
gene843,100534413
gene844,100697899
gene845,100698166
gene846,100698430
gene847,100698697
gene848,100698969
gene849,100699231
gene850,100699506
gene851,100707572
gene852,100699774
gene853,100707845
gene854,102077314
gene855,100700039
gene856,100700311
gene857,100700589
gene858,100708114
gene859,100700856
gene860,102078065
gene861,100701129
gene862,100701402
gene863,100701673
gene864,100701949
gene865,100702215
gene866,102079258
gene867,100702483
gene868,100702754
gene869,100703022
gene870,100703295
gene871,100703564
gene872,100704106
gene873,112846874
gene874,100704642
gene875,100704912
gene876,100705181
gene877,100692289
gene878,112846884
gene879,102081040
gene880,102081220
gene881,100705710
gene882,102081448
gene883,100692560
gene884,100693104
gene886,100705969
gene887,102082025
gene888,100693376
gene889,100706237
gene891,112846896
gene892,100695459
gene893,100706606
gene894,100698105
gene895,100693207
gene896,100698371
gene897,100704208
gene898,100689810
gene899,100699077
gene900,100698904
gene901,109202439
gene902,100698635
gene903,100699171
gene904,100699439
gene905,100699709
gene906,100700242
gene907,100708395
gene908,100709566
gene909,100700520
gene910,100711161
gene911,100700785
gene912,100690696
gene913,100701055
gene914,100692935
gene915,100701328
gene916,100694290
gene918,100701599
gene919,100701875
gene920,100702144
gene921,100696842
gene923,100699974
gene924,100702682
gene925,100702411
gene926,100702949
gene928,100703221
gene929,100710982
gene932,100703490
gene933,100691853
gene935,100534508
gene936,100695884
gene937,109194405
gene989,100699619
gene990,100702054
gene991,100704034
gene992,100704305
gene993,100704573
gene994,100706340
gene996,100704842
gene997,100705111
gene998,100705376
gene999,100705642
gene1000,112846942
gene1001,100705905
gene1003,100706174
gene1004,100706433
gene1005,100690887
gene1007,100693039
gene1008,100696671
gene1009,100706970
gene1010,109202488
gene1011,100707235
gene1012,100707497
gene1013,100708034
gene1015,102077353
gene1016,100708305
gene1018,102077549
gene1019,102076597
gene1020,100708842
gene1021,100709114
gene1023,100709383
gene1025,100709652
gene1026,109202511
gene1027,100699617
gene1028,100709925
gene1029,100710190
gene1032,100710449
gene1033,100710716
gene1035,100711249
gene1036,100699879
gene1037,100700329
gene1038,100711521
gene1039,100700606
gene1040,100700873
gene1042,100701147
gene1045,100701597
gene1046,100711792
gene1049,100702142
gene1050,100712059
gene1053,100712326
gene1056,100689705
gene1058,100702409
gene1060,100702680
gene1061,100702947
gene1062,100703219
gene1063,100689974
gene1064,100703488
gene1065,100690238
gene1066,100703765
gene1067,100690506
gene1068,100704032
gene1069,100704303
gene1070,100690781
gene1071,100691047
gene1072,100704840
gene1073,100691314
gene1074,100705281
gene1075,100691586
gene1076,109202667
gene1077,100692121
gene1079,100692394
gene1080,109202683
gene1081,109202681
gene1087,109202686
gene1088,109202703
gene1089,100705547
gene1091,100695985
gene1092,100692937
gene1093,100693209
gene1094,100705811
gene1095,100693747
gene1096,100694015
gene1097,100694292
gene1098,100706074
gene1099,100694561
gene1100,100694828
gene1101,100706338
gene1103,100695086
gene1104,100695353
gene1105,102077296
gene1106,106096445
gene1107,102076948
gene1108,100695615
gene1109,100706880
gene1110,100707142
gene1111,100696143
gene1112,100696408
gene1113,100707581
gene1114,100707855
gene1115,100696673
gene1116,100708125
gene1117,100696938
gene1118,102078011
gene1119,100697206
gene1120,100697740
gene1123,100698004
gene1128,112847089
gene1130,100709025
gene1131,100709298
gene1132,100698536
gene1133,100698807
gene1135,100699079
gene1136,100699346
gene1137,100699881
gene1138,100709836
gene1139,100710103
gene1140,100534518
gene1141,100700148
gene1143,100700424
gene1144,100700693
gene1145,100700960
gene1146,100701236
gene1148,100701509
gene1149,100701781
gene1150,100702588
gene1151,109202788
gene1152,100710631
gene1153,100702855
gene1154,100703123
gene1156,100703393
gene1158,102083000
gene1159,100710896
gene1161,100703670
gene1162,100703938
gene1168,100711431
gene1171,109202976
gene1173,100704477
gene1174,100711702
gene1175,100704746
gene1176,100705016
gene1177,109202419
gene1178,100711971
gene1179,102077106
gene1180,100705283
gene1181,100705549
gene1182,102077352
gene1183,102077445
gene1184,109203026
gene1185,102077547
gene1186,102078388
gene1187,100712239
gene1189,100706076
gene1190,112847147
gene1192,109202808
gene1195,100706608
gene1196,109202805
gene1197,109202809
gene1199,100689890
gene1200,100690153
gene1201,100690420
gene1204,102078972
gene1205,100707143
gene1206,100707412
gene1207,100707680
gene1208,100707950
gene1209,100691312
gene1210,100691584
gene1211,100708221
gene1212,102079176
gene1213,100708488
gene1215,106097084
gene1218,100709027
gene1219,100709300
gene1222,100534505
gene1226,100709568
gene1227,100692119
gene1228,100692392
gene1229,100709838
gene1230,100710105
gene1231,106096442
gene1232,100710633
gene1233,100710898
gene1234,100692663
gene1238,100711433
gene1241,102081421
gene1242,100711973
gene1243,100712241
gene1244,100712510
gene1245,100689892
gene1246,100690155
gene1249,100690422
gene1250,100693483
gene1253,100690698
gene1256,100690965
gene1257,100691227
gene1259,100691497
gene1261,100691763
gene1262,100692035
gene1263,100694013
gene1264,100692305
gene1266,100692576
gene1267,102076855
gene1269,112847253
gene1272,100690079
gene1274,100694559
gene1275,100694826
gene1276,102077548
gene1278,112847257
gene1279,100690615
gene1280,100695084
gene1285,100691151
gene1286,100691421
gene1291,100691689
gene1293,100691959
gene1294,100692227
gene1296,100692497
gene1297,100692766
gene1299,100693482
gene1301,100693744
gene1302,100694012
gene1303,100695351
gene1304,100694289
gene1306,100694558
gene1309,100694825
gene1311,100695083
gene1312,100695350
gene1314,100695788
gene1315,100695613
gene1316,100695882
gene1318,100696046
gene1320,100696141
gene1321,100696314
gene1325,100696575
gene1326,100697109
gene1327,100697380
gene1328,100696937
gene1331,100697204
gene1334,109202460
gene1335,109202920
gene1336,109202921
gene1338,100697470
gene1342,112841883
gene1343,109194407
gene1344,109202932
gene1345,109200344
gene1347,109200343
gene1348,109200345
gene1349,109194529
gene1355,112847518
gene1356,109203239
gene1357,112841993
gene1358,109202958
gene1360,109202959
gene1361,109203116
gene1362,102077700
gene1367,112842478
gene1369,100702836
gene1372,102075982
gene1375,100697391
gene1376,112847526
gene1379,102082225
gene1383,100707137
gene1384,109203138
gene1385,112842480
gene1388,100707945
gene1389,100708216
gene1390,100706601
gene1391,102082998
gene1392,100706875
gene1393,100708483
gene1395,100708752
gene1396,102075921
gene1397,100709020
gene1399,100694272
gene1400,100710531
gene1402,100694540
gene1403,109202962
gene1404,102079469
gene1405,100710800
gene1407,100711066
gene1408,100711332
gene1409,100695068
gene1410,100695335
gene1411,100711605
gene1412,112841994
gene1413,112847566
gene1421,106097346
gene1423,109200088
gene1428,100696274
gene1430,100696535
gene1431,100696803
gene1432,109200086
gene1433,100691272
gene1435,100699858
gene1437,106098832
gene1438,109203230
gene1440,109203232
gene1441,109194515
gene1442,100708580
gene1451,100695771
gene1452,100712141
gene1454,102081539
gene1455,102081643
gene1456,109202965
gene1457,102081737
gene1458,100689790
gene1459,100696476
gene1460,100690490
gene1461,100697013
gene1462,100697283
gene1463,100690764
gene1465,102083125
gene1466,102083204
gene1467,100691030
gene1468,100697545
gene1470,100691295
gene1471,100691567
gene1472,100691836
gene1475,100692103
gene1476,102076496
gene1477,100692919
gene1480,109194372
gene1481,109195020
gene1487,102078534
gene1493,100697069
gene1494,100691543
gene1495,100692174
gene1496,100697342
gene1497,100692443
gene1498,100697608
gene1499,100692713
gene1501,100697877
gene1504,100698143
gene1506,100698407
gene1507,109203021
gene1508,100698944
gene1509,100699209
gene1510,100692987
gene1511,100699481
gene1512,109203661
gene1515,100699750
gene1516,100700015
gene1521,100700286
gene1536,112842493
gene1537,112847671
gene1541,102075528
gene1543,100700830
gene1544,102080269
gene1545,100693702
gene1547,100694245
gene1548,100701101
gene1550,100701372
gene1551,102081093
