49293
7652	8108	1702
0	664	0
756	1038	665
1124	1213	948
0	1334	0
1426	1568	1335
1832	2244	1478
2707	2958	1891
0	132	0
1252	1387	133
3122	3198	269
3315	3370	346
0	87	0
4694	4754	88
4875	10243	149
10913	12497	5518
0	34	0
4511	4711	35
9467	9640	236
10316	10467	410
0	13	0
2299	2337	14
6872	7045	53
7229	7466	227
0	555	0
780	909	556
987	1100	686
1247	1324	800
1624	1751	878
0	555	0
780	909	556
987	1100	686
1247	1324	800
1607	1763	878
0	388	0
15592	15736	389
16566	16695	534
16907	17012	664
17273	17519	770
18396	18492	1017
18641	18734	1114
18810	18901	1208
18994	19046	1300
22110	22265	1353
22447	22515	1509
22654	22717	1578
22803	22866	1642
23227	23328	1706
23405	23502	1808
23631	23768	1906
24170	24247	2044
24461	27976	2122
0	388	0
15592	15736	389
16566	16695	534
16907	17012	664
17273	17519	770
18396	18492	1017
18641	18734	1114
18810	18901	1208
18994	19046	1300
22110	22265	1353
22447	22515	1509
22654	22717	1578
22803	22866	1642
23227	23328	1706
23405	23502	1808
23631	23768	1906
24170	24247	2044
24461	24700	2122
29641	30051	2362
0	387	0
15591	15735	388
16565	16694	533
16906	17011	663
17272	17518	769
18395	18491	1016
18640	18733	1113
18809	18900	1207
18993	19045	1299
22109	22264	1352
22446	22514	1508
22653	22716	1577
22802	22865	1641
23226	23327	1705
23404	23501	1807
23630	23767	1905
24169	24246	2043
29640	30050	2121
0	206	0
701	845	207
1621	1763	352
3305	3988	495
4382	4495	1179
6358	6469	1293
8538	8685	1405
9710	9757	1553
12144	12221	1601
15398	15535	1679
15976	16059	1817
16186	16236	1901
17243	18543	1952
0	206	0
1621	1763	207
3305	3988	350
4382	4495	1034
6358	6469	1148
8538	8685	1260
9710	9757	1408
12144	12221	1456
15398	15535	1534
15976	16059	1672
16186	16236	1756
17243	18543	1807
0	140	0
1311	1353	141
1460	1592	184
1698	1837	317
1945	2113	457
2580	2689	626
2795	2938	736
3024	3161	880
3261	3350	1018
4078	4157	1108
4424	5123	1188
0	140	0
0	1339	0
2862	4202	1340
0	642	0
